Tanggal,provinsi (plot_tk_kab),bps_province_id,name,bps_regency_id,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
2022-06-13,ACEH,11,ACEH BARAT,1107,215294,1078,37,2,0.171858017408753,0.0,3.4322820037105752,62.5
2022-06-14,ACEH,11,ACEH BARAT,1107,215294,1078,36,4,0.167213206127435,0.0,3.339517625231911,11.320754716981131
2022-06-15,ACEH,11,ACEH BARAT,1107,215294,1078,37,90,0.171858017408753,0.0,3.4322820037105752,14.814814814814811
2022-06-16,ACEH,11,ACEH BARAT,1107,215294,1078,39,10,0.181147639971388,0.0,3.6178107606679033,15.09433962264151
2022-06-13,ACEH,11,ACEH BARAT DAYA,1112,155966,7778,21,8,0.134644730261724,0.0,2.702702702702702,22.5
2022-06-14,ACEH,11,ACEH BARAT DAYA,1112,155966,7778,19,8,0.121821422617755,0.0,2.445302445302445,25.32075471698113
2022-06-15,ACEH,11,ACEH BARAT DAYA,1112,155966,7778,21,10,0.134644730261724,0.0,2.702702702702702,28.205128205128204
2022-06-16,ACEH,11,ACEH BARAT DAYA,1112,155966,7778,13,50,0.083351499685829,0.0,1.6731016731016732,38.70967741935484
2022-06-13,ACEH,11,ACEH BESAR,1108,436212,2184,227,114,0.520389168569411,0.0,10.393772893772894,11.854103343465043
2022-06-14,ACEH,11,ACEH BESAR,1108,436212,2184,307,116,0.70378623238242,0.0,14.056776556776557,9.456264775413713
2022-06-15,ACEH,11,ACEH BESAR,1108,436212,2184,303,110,0.694616379191769,0.0,13.873626373626374,10.476190476190476
2022-06-16,ACEH,11,ACEH BESAR,1108,436212,2184,348,107,0.797777227586586,0.0,15.934065934065933,11.11111111111111
2022-06-13,ACEH,11,ACEH JAYA,1116,97338,490,37,19,0.380118761429247,0.0,7.551020408163265,8.695652173913043
2022-06-14,ACEH,11,ACEH JAYA,1116,97338,490,35,15,0.35957180135199,0.0,7.142857142857142,9.30232558139535
2022-06-15,ACEH,11,ACEH JAYA,1116,97338,490,36,14,0.369845281390618,0.0,7.346938775510205,9.090909090909092
2022-06-16,ACEH,11,ACEH JAYA,1116,97338,490,29,9,0.29793092112022,0.0,5.918367346938775,11.11111111111111
2022-06-13,ACEH,11,ACEH SELATAN,1103,248511,1246,32,5,0.128766935870042,0.0,2.568218298555377,19.230769230769237
2022-06-14,ACEH,11,ACEH SELATAN,1103,248511,1246,33,5,0.132790902615981,0.0,2.648475120385233,20.37037037037037
2022-06-15,ACEH,11,ACEH SELATAN,1103,248511,1246,31,5,0.124742969124103,0.0,2.4879614767255216,18.75
2022-06-16,ACEH,11,ACEH SELATAN,1103,248511,1246,30,5,0.120719002378164,0.0,2.4077046548956664,18.75
2022-06-13,ACEH,11,ACEH SINGKIL,1102,127289,637,50,30,0.392806919686697,2.0,7.849293563579278,20.87912087912088
2022-06-14,ACEH,11,ACEH SINGKIL,1102,127289,637,63,14,0.494936718805238,1.58730158730159,9.89010989010989,4.651162790697675
2022-06-15,ACEH,11,ACEH SINGKIL,1102,127289,637,68,35,0.534217410773908,1.47058823529412,10.67503924646782,24.52830188679245
2022-06-16,ACEH,11,ACEH SINGKIL,1102,127289,637,68,37,0.534217410773908,1.47058823529412,10.67503924646782,25.49019607843137
2022-06-13,ACEH,11,ACEH TAMIANG,1114,304273,1519,85,81,0.279354395559251,0.0,5.595786701777485,12.269938650306749
2022-06-14,ACEH,11,ACEH TAMIANG,1114,304273,1519,83,66,0.272781350957857,0.0,5.464121132323897,11.612903225806452
2022-06-15,ACEH,11,ACEH TAMIANG,1114,304273,1519,92,78,0.302360051664131,0.0,6.056616194865043,11.920529801324504
