Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,22/07/2022,215294,1078,73,25,0.339071223536188,0.0,6.771799628942486,3.2967032967032974
ACEH BARAT DAYA,ACEH,22/07/2022,155966,7778,45,15,0.288524421989408,0.0,5.7915057915057915,14.516129032258066
ACEH BESAR,ACEH,22/07/2022,436212,2184,276,49,0.632719870154879,0.72463768115942,12.637362637362637,10.112359550561797
ACEH JAYA,ACEH,22/07/2022,97338,490,67,50,0.688323162588095,0.0,13.673469387755102,1.3157894736842104
ACEH SELATAN,ACEH,22/07/2022,248511,1246,43,2,0.173030570075369,0.0,3.451043338683788,8.620689655172415
ACEH SINGKIL,ACEH,22/07/2022,127289,637,60,14,0.471368303624037,0.0,9.419152276295135,10.81081081081081
ACEH TAMIANG,ACEH,22/07/2022,304273,1519,120,91,0.394382676083649,0.0,7.899934167215274,16.9811320754717
ACEH TENGAH,ACEH,22/07/2022,218036,1092,199,184,0.912693316699994,0.0,18.223443223443223,0.4464285714285714
ACEH TENGGARA,ACEH,22/07/2022,222284,1113,77,1,0.346403699771464,0.0,6.918238993710692,10.526315789473683
ACEH TIMUR,ACEH,22/07/2022,448347,2240,58,6,0.129364086299228,0.0,2.5892857142857144,2.9850746268656714
ACEH UTARA,ACEH,22/07/2022,636641,3185,263,185,0.413105659233383,0.0,8.257456828885399,3.761755485893417
AGAM,SUMATERA BARAT,22/07/2022,504126,2520,398,88,0.789485168390442,0.251256281407035,15.793650793650793,7.3558648111332
ALOR,NTT,22/07/2022,209155,1043,319,66,1.52518467165499,0.626959247648903,30.584851390220518,0.5747126436781609
ASAHAN,SUMATERA UTARA,22/07/2022,747618,3738,544,214,0.727644331730911,0.0,14.553237025147137,13.911845730027547
ASMAT,PAPUA,22/07/2022,103453,105,99,40,0.956956298995679,0.0,94.28571428571428,0.0
BADUNG,BALI,22/07/2022,727951,728,6704,5648,9.20941107299805,5.26551312649165,920.8791208791208,2.921762764511745
BALANGAN,KALIMANTAN SELATAN,22/07/2022,134576,672,145,126,1.07745809059565,2.75862068965517,21.577380952380953,39.436619718309856
BANDUNG,JAWA BARAT,22/07/2022,3810690,19054,4861,3881,1.27562200021518,3.27093190701502,25.51170357930093,7.773176170755018
BANDUNG BARAT,JAWA BARAT,22/07/2022,1698855,8491,2190,1000,1.28910354326885,3.92694063926941,25.79201507478507,7.544483985765124
BANGGAI,SULAWESI TENGAH,22/07/2022,390892,1953,519,388,1.32773246830327,0.0,26.574500768049152,2.5559105431309903
BANGGAI KEPULAUAN,SULAWESI TENGAH,22/07/2022,119719,602,111,63,0.927171125719393,0.0,18.438538205980066,33.70165745856354
BANGGAI LAUT,SULAWESI TENGAH,22/07/2022,78681,392,202,296,2.5673288341531,0.0,51.53061224489795,10.0
