Kabupaten/ Kota,provinsi (plot_tk_kab),Tanggal,Jumlah Penduduk,Target orang diperiksa/ minggu (7 hari terakhir) (Inmendagri),Orang diperiksa/ minggu (7 hari terakhir),Spesimen diperiksa/minggu (7 hari terakhir),Orang diperiksa per 1000 penduduk/ minggu (7 hari terakhir),Positivity Rate (%) (7 hari terakhir),% Capaian (orang diperiksa/minggu dibagi target orang/minggu) (7 hari terakhir),% Pemeriksaan suspek dan kontak erat dibagi orang diperiksa/minggu (7 hari terakhir)
ACEH BARAT,ACEH,14/12/2021,212402,210,719,685,3.385091,0.0,342.38095238095235,3.1668696711327646
ACEH BARAT DAYA,ACEH,14/12/2021,153902,154,673,605,4.372913,0.0,437.01298701298697,5.736636245110821
ACEH BESAR,ACEH,14/12/2021,430328,427,1538,726,3.574018,0.0,360.1873536299766,5.457089552238806
ACEH JAYA,ACEH,14/12/2021,95858,1435,356,289,3.713827,0.0,24.80836236933798,4.092071611253197
ACEH SELATAN,ACEH,14/12/2021,245364,3682,436,248,1.776952,0.0,11.841390548614882,4.961832061068702
ACEH SINGKIL,ACEH,14/12/2021,125569,1883,167,208,1.329946,0.0,8.8688263409453,5.990783410138248
ACEH TAMIANG,ACEH,14/12/2021,300846,301,421,181,1.399387,0.712589,139.8671096345515,6.108202443280978
ACEH TENGAH,ACEH,14/12/2021,215083,3227,799,758,3.714845,0.0,24.75983885962194,2.5109170305676853
ACEH TENGGARA,ACEH,14/12/2021,219279,3290,329,180,1.500372,0.0,10.0,21.631878557874764
ACEH TIMUR,ACEH,14/12/2021,442226,441,552,396,1.248231,0.0,125.17006802721089,4.56490727532097
ACEH UTARA,ACEH,14/12/2021,629735,630,1033,929,1.640373,0.0,163.96825396825398,10.08094186902134
AGAM,SUMATERA BARAT,14/12/2021,500774,504,1978,1059,3.949886,0.0,392.46031746031747,3.2361166600079905
ALOR,NTT,14/12/2021,208098,210,878,513,4.219166,0.0,418.09523809523813,0.2840909090909091
ASAHAN,SUMATERA UTARA,14/12/2021,742634,742,1228,866,1.653574,0.0,165.49865229110512,4.933008526187576
ASMAT,PAPUA,14/12/2021,101354,98,601,615,5.929712,0.0,613.265306122449,0.14124293785310735
BADUNG,BALI,14/12/2021,711365,714,19270,37829,27.088766,0.041515,2698.8795518207285,0.5988661467621303
BALANGAN,KALIMANTAN SELATAN,14/12/2021,133129,133,518,560,3.890963,0.19305,389.4736842105263,15.14745308310992
BANDUNG,JAWA BARAT,14/12/2021,3773706,3773,14982,10290,3.970103,0.253638,397.08454810495624,5.7009771657131285
BANDUNG BARAT,JAWA BARAT,14/12/2021,1690441,25354,6186,2890,3.6594,0.032331,24.398516999290052,2.0175764327268224
BANGGAI,SULAWESI TENGAH,14/12/2021,385891,5789,1901,2289,4.926262,0.0,32.838141302470206,1.0677618069815196
BANGGAI KEPULAUAN,SULAWESI TENGAH,14/12/2021,119149,119,402,218,3.373927,0.248756,337.8151260504202,8.548707753479125
BANGGAI LAUT,SULAWESI TENGAH,14/12/2021,77384,77,284,279,3.670009,0.0,368.83116883116884,7.219251336898395
BANGKA,KEP. BANGKA BELITUNG,14/12/2021,337286,336,2771,2382,8.21558,0.0,824.702380952381,0.6369426751592357
BANGKA BARAT,KEP. BANGKA BELITUNG,14/12/2021,213282,210,1661,2558,7.787811,0.180614,790.952380952381,0.9099181073703366
BANGKA SELATAN,KEP. BANGKA BELITUNG,14/12/2021,209815,210,856,436,4.079785,0.0,407.6190476190476,1.9298245614035088
BANGKA TENGAH,KEP. BANGKA BELITUNG,14/12/2021,196060,196,1433,1055,7.308987,0.139567,731.1224489795918,1.5
BANGKALAN,JAWA TIMUR,14/12/2021,1003188,15050,3821,3284,3.808857,0.078513,25.388704318936878,2.6522384892849566
BANGLI,BALI,14/12/2021,229961,231,1299,1010,5.648784,0.538876,562.3376623376623,13.229780396357793
BANJAR,KALIMANTAN SELATAN,14/12/2021,595240,595,1916,3169,3.21887,0.0,322.01680672268907,0.631019594818997
BANJARNEGARA,JAWA TENGAH,14/12/2021,926402,924,434,832,0.468479,0.921659,46.96969696969697,2.517527087316762
BANTAENG,SULAWESI SELATAN,14/12/2021,189202,2835,466,257,2.462976,0.0,16.437389770723104,2.3771790808240887
BANTUL,DI YOGYAKARTA,14/12/2021,1050308,1050,7788,9985,7.414968,0.141243,741.7142857142858,2.861189801699717
BANYUASIN,SUMATERA SELATAN,14/12/2021,878154,875,3028,1961,3.448142,0.033025,346.0571428571428,1.902398676592225
BANYUMAS,JAWA TENGAH,14/12/2021,1708480,25627,1523,10063,0.891436,0.853578,5.942950794084364,4.754128107421521
BANYUWANGI,JAWA TIMUR,14/12/2021,1622536,1624,10813,23740,6.664259,0.018496,665.8251231527094,1.0652257815515245
BARITO KUALA,KALIMANTAN SELATAN,14/12/2021,315419,315,979,394,3.103808,0.0,310.7936507936508,5.339105339105339
BARITO SELATAN,KALIMANTAN TENGAH,14/12/2021,139191,140,438,250,3.146755,0.0,312.85714285714283,1.436265709156194
BARITO TIMUR,KALIMANTAN TENGAH,14/12/2021,126220,126,445,306,3.52559,0.224719,353.17460317460313,1.5254237288135595
BARITO UTARA,KALIMANTAN TENGAH,14/12/2021,132122,133,878,872,6.645373,0.113895,660.1503759398496,0.9398496240601504
BARRU,SULAWESI SELATAN,14/12/2021,175023,2625,709,460,4.050896,0.141044,27.00952380952381,1.671891327063741
BATANG,JAWA TENGAH,14/12/2021,775340,777,978,1176,1.261382,0.102249,125.86872586872586,1.84141300263059
BATANGHARI,JAMBI,14/12/2021,271522,4074,474,1009,1.745715,0.0,11.634756995581737,2.1374045801526718
BATU BARA,SUMATERA UTARA,14/12/2021,425831,427,1099,598,2.580836,0.0,257.37704918032784,4.84196368527236
BEKASI,JAWA BARAT,14/12/2021,3922987,58842,20435,29572,5.209041,0.107658,34.72859522110057,2.5185185185185186
BELITUNG,KEP. BANGKA BELITUNG,14/12/2021,189752,189,3453,5394,18.197437,0.086881,1826.984126984127,0.8652015919709292
BELITUNG TIMUR,KEP. BANGKA BELITUNG,14/12/2021,129411,126,1241,744,9.589602,0.08058,984.9206349206349,2.441671188279978
BELU,NTT,14/12/2021,226638,224,1608,1241,7.095015,0.248756,717.8571428571429,1.0816657652785289
BENER MERIAH,ACEH,14/12/2021,150266,147,328,228,2.182796,0.0,223.12925170068024,2.941176470588235
BENGKALIS,RIAU,14/12/2021,567745,567,2526,1484,4.449181,0.079177,445.50264550264546,2.072120559741658
BENGKAYANG,KALIMANTAN BARAT,14/12/2021,262205,259,1296,1302,4.942698,0.231481,500.38610038610034,9.248913718187461
BENGKULU SELATAN,BENGKULU,14/12/2021,175308,175,653,330,3.724873,0.0,373.1428571428571,2.164009111617312
BENGKULU TENGAH,BENGKULU,14/12/2021,115178,112,364,93,3.160326,0.274725,325.0,1.4553014553014554
BENGKULU UTARA,BENGKULU,14/12/2021,307095,4606,1211,781,3.943405,0.0,26.29179331306991,1.3297872340425532
