name,bps_regency_id,bps_province_id
ACEH BARAT,1107,11
ACEH BARAT,1107,11
ACEH BARAT DAYA,1112,11
ACEH BARAT DAYA,1112,11
ACEH BESAR,1108,11
ACEH BESAR,1108,11
ACEH JAYA,1116,11
ACEH JAYA,1116,11
ACEH SELATAN,1103,11
ACEH SELATAN,1103,11
ACEH SINGKIL,1102,11
ACEH SINGKIL,1102,11
ACEH TAMIANG,1114,11
ACEH TAMIANG,1114,11
ACEH TENGAH,1106,11
ACEH TENGAH,1106,11
ACEH TENGGARA,1104,11
ACEH TENGGARA,1104,11
ACEH TIMUR,1105,11
ACEH TIMUR,1105,11
ACEH UTARA,1111,11
ACEH UTARA,1111,11
BENER MERIAH,1117,11
BENER MERIAH,1117,11
BIREUEN,1110,11
BIREUEN,1110,11
GAYO LUES,1113,11
GAYO LUES,1113,11
KOTA BANDA ACEH,1171,11
KOTA BANDA ACEH,1171,11
KOTA LANGSA,1173,11
KOTA LANGSA,1173,11
KOTA LHOKSEUMAWE,1174,11
KOTA LHOKSEUMAWE,1174,11
KOTA SABANG,1172,11
KOTA SABANG,1172,11
KOTA SUBULUSSALAM,1175,11
KOTA SUBULUSSALAM,1175,11
NAGAN RAYA,1115,11
NAGAN RAYA,1115,11
PIDIE,1109,11
PIDIE,1109,11
PIDIE JAYA,1118,11
PIDIE JAYA,1118,11
SIMEULUE,1101,11
SIMEULUE,1101,11
BADUNG,5103,51
BADUNG,5103,51
BANGLI,5106,51
BANGLI,5106,51
BULELENG,5108,51
BULELENG,5108,51
GIANYAR,5104,51
GIANYAR,5104,51
JEMBRANA,5101,51
JEMBRANA,5101,51
KARANGASEM,5107,51
KARANGASEM,5107,51
KLUNGKUNG,5105,51
KLUNGKUNG,5105,51
KOTA DENPASAR,5171,51
KOTA DENPASAR,5171,51
TABANAN,5102,51
TABANAN,5102,51
KOTA CILEGON,3672,36
KOTA CILEGON,3672,36
KOTA SERANG,3673,36
KOTA SERANG,3673,36
KOTA TANGERANG,3671,36
KOTA TANGERANG,3671,36
KOTA TANGERANG SELATAN,3674,36
KOTA TANGERANG SELATAN,3674,36
LEBAK,3602,36
LEBAK,3602,36
PANDEGLANG,3601,36
PANDEGLANG,3601,36
SERANG,3604,36
SERANG,3604,36
TANGERANG,3603,36
TANGERANG,3603,36
BENGKULU SELATAN,1701,17
